message_id,message_text,label,message_type,channel,language,locale,scam_keywords,confidence_score,scam_subtype,link_present,urgency_level
31,आपका पैकेज वितरित कर दिया गया है।,legitimate,Legitimate,SMS,Hindi,IN,,0.05,None,0,None
32,लॉगिन के लिए ओटीपी 226998 है। साझा न करें।,legitimate,Legitimate,SMS,Hindi,IN,,0.03,None,0,None
33,Your package has been delivered. Track here: https://google.com,legitimate,Legitimate,Email,English,IN,,0.02,None,1,None
34,OTP for login is 239223. Do not share.,legitimate,Legitimate,Email,English,IN,,0.03,None,0,None
35,Please find attached the invoice for your recent purchase.,legitimate,Legitimate,SMS,English,IN,,0.01,None,0,None
36,कृपया अपनी हालिया खरीदारी का चालान प्राप्त करें।,legitimate,Legitimate,Email,Hindi,IN,,0.04,None,0,None
37,Feedback ke liye dhanyavad.,legitimate,Legitimate,SMS,Hinglish,IN,,0.06,None,0,None
38,Payment of Rs. 2000 failed. Update card details: http://payment-update.com?id=6453,scam,Payment,SMS,English,IN,"prize,claim",0.9,Payment,1,High
39,Send your UPI ID to receive Rs. 1000 cashback.,scam,Data_Request,SMS,English,IN,"prize,claim",0.81,Data_Request,0,Critical
40,You are the lucky winner of an iPhone 15! Claim now: http://bank-secure-verify.com?id=9781,scam,Prize,SMS,English,IN,"urgent,verify,account",0.95,Prize,1,High
41,Tera parcel deliver ho gaya. Check kar le.,legitimate,Legitimate,Email,Hinglish,IN,,0.02,None,0,None
42,आपका पैकेज वितरित कर दिया गया है।,legitimate,Legitimate,Email,Hindi,IN,,0.03,None,0,None
43,Meeting ka time change ho gaya hai.,legitimate,Legitimate,Email,Hinglish,IN,,0.03,None,0,None
44,"लॉटरी विजेता! आपका रु. 25,000 का पुरस्कार इंतजार कर रहा है: http://paytm-unlock.com?token=14337",scam,Prize,Email,Hindi,IN,"prize,claim",0.81,Prize,1,Medium
45,Your statement for January is generated.,legitimate,Legitimate,SMS,English,IN,,0.02,None,0,None
46,अंतिम चेतावनी: अपने बिलों का भुगतान करें अन्यथा कानूनी कार्रवाई का सामना करें।,scam,Urgent_Threat,SMS,Hindi,IN,"prize,claim",0.94,Urgent_Threat,0,Critical
47,"नमस्ते, क्या हम आज दोपहर के भोजन के लिए मिल रहे हैं?",legitimate,Legitimate,SMS,Hindi,IN,,0.05,None,0,None
48,विशेष ऑफर: आपको 5000 रुपये का गिफ्ट कार्ड मिला है। भुनाएं: http://account-recovery.com?token=24078,scam,Prize,SMS,Hindi,IN,"urgent,verify,account",0.81,Prize,1,Medium
49,Tax Refund aaya hai Rs. 5000. Le le: http://aadhaar-verify-secure.gov.in?id=1590,scam,Government,SMS,Hinglish,IN,"urgent,verify,account",0.84,Government,1,Medium
50,Security Alert: Please review recent activity at http://instagram-verify-secure.com?id=5375,scam,Phishing,SMS,English,IN,"urgent,verify,account",0.91,Phishing,1,High
51,Happy Birthday! Hope you have a great day.,legitimate,Legitimate,SMS,English,IN,,0.02,None,0,None
52,जन्मदिन मुबारक हो! आशा है आपका दिन मंगलमय हो।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
53,कृपया अपनी हालिया खरीदारी का चालान प्राप्त करें।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
54,कृपया अपनी हालिया खरीदारी का चालान प्राप्त करें।,legitimate,Legitimate,Email,Hindi,IN,,0.06,None,0,None
55,आपकी प्रतिक्रिया के लिए धन्यवाद!,legitimate,Legitimate,SMS,Hindi,IN,,0.03,None,0,None
56,अनुस्मारक: कल सुबह 10 बजे दंत चिकित्सक की नियुक्ति।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
57,Send your UPI ID to receive Rs. 2000 cashback.,scam,Data_Request,Email,English,IN,"prize,claim",0.9,Data_Request,0,High
58,OTP for login is 919044. Do not share.,legitimate,Legitimate,Email,English,IN,,0.01,None,0,None
59,Feedback ke liye dhanyavad.,legitimate,Legitimate,Email,Hinglish,IN,,0.05,None,0,None
60,Please find attached the invoice for your recent purchase.,legitimate,Legitimate,Email,English,IN,,0.04,None,0,None
61,"लॉटरी विजेता! आपका रु. 5,00,000 का पुरस्कार इंतजार कर रहा है: http://facebook-verify.com?id=5388",scam,Prize,Email,Hindi,IN,"urgent,verify,account",0.77,Prize,1,High
62,Thank you for your feedback!,legitimate,Legitimate,Email,English,IN,,0.03,None,0,None
63,Please find attached the invoice for your recent purchase.,legitimate,Legitimate,Email,English,IN,,0.04,None,0,None
64,अनुस्मारक: कल सुबह 10 बजे दंत चिकित्सक की नियुक्ति।,legitimate,Legitimate,SMS,Hindi,IN,,0.02,None,0,None
65,बैठक का एजेंडा अपडेट किया गया।,legitimate,Legitimate,Email,Hindi,IN,,0.03,None,0,None
66,Tera bank account XXXX9834 block ho gaya. KYC update kar: http://prize-claim.com?id=7342,scam,Banking,SMS,Hinglish,IN,"urgent,verify,account",0.77,Banking,1,High
67,Google Pay: कैशबैक प्राप्त करने के लिए ओटीपी 979005 दर्ज करें।,scam,OTP_Request,Email,Hindi,IN,"prize,claim",0.83,OTP_Request,0,High
68,"Hey, are we still meeting for lunch today?",legitimate,Legitimate,Email,English,IN,,0.03,None,0,None
69,Login OTP 934768 hai. Kisi ko mat batana.,legitimate,Legitimate,SMS,Hinglish,IN,,0.01,None,0,None
70,Bijli ka bill bharo warna light kat jayegi: http://bit.ly/urgent-verify?token=65538,scam,Payment,Email,Hinglish,IN,"urgent,verify,account",0.95,Payment,1,Medium
71,बिना सिबिल चेक के लोन। अभी प्राप्त करें: http://paytm-unlock.com?id=7711,scam,Loan,SMS,Hindi,IN,"prize,claim",0.93,Loan,1,Medium
72,Instant Loan approved. Disbursal in 5 mins. Click: http://payment-update.com?token=28648,scam,Loan,Email,English,IN,"prize,claim",0.87,Loan,1,Medium
73,Bill ban gaya hai is mahine ka.,legitimate,Legitimate,Email,Hinglish,IN,,0.01,None,0,None
74,बैठक का एजेंडा अपडेट किया गया।,legitimate,Legitimate,SMS,Hindi,IN,,0.02,None,0,None
75,Lottery Winner! Your prize of Rs. 1 Crore is waiting. Withdraw: http://prize-claim.com?token=77039,scam,Prize,SMS,English,IN,"prize,claim",0.83,Prize,1,High
76,इस महीने का आपका विवरण तैयार है।,legitimate,Legitimate,Email,Hindi,IN,,0.05,None,0,None
77,"रु. 5,00,000 का पूर्व-स्वीकृत व्यक्तिगत ऋण। आवेदन करें: http://instagram-verify-secure.com?token=21257",scam,Loan,Email,Hindi,IN,"urgent,verify,account",0.91,Loan,1,Critical
78,OTP for login is 476543. Do not share.,legitimate,Legitimate,Email,English,IN,,0.02,None,0,None
79,"नमस्ते, क्या हम आज दोपहर के भोजन के लिए मिल रहे हैं?",legitimate,Legitimate,SMS,Hindi,IN,,0.01,None,0,None
80,"रु. 5,00,000 का पूर्व-स्वीकृत व्यक्तिगत ऋण। आवेदन करें: http://google-play-update.com?id=3490",scam,Loan,SMS,Hindi,IN,"prize,claim",0.93,Loan,1,Critical
81,Meeting agenda updated. Check email.,legitimate,Legitimate,Email,English,IN,,0.04,None,0,None
82,"Bhai, aaj shaam ko mil rahe hain kya?",legitimate,Legitimate,SMS,Hinglish,IN,,0.04,None,0,None
83,Your statement for January is generated.,legitimate,Legitimate,Email,English,IN,,0.01,None,0,None
84,"Bhai, aaj shaam ko mil rahe hain kya?",legitimate,Legitimate,Email,Hinglish,IN,,0.04,None,0,None
85,Feedback ke liye dhanyavad.,legitimate,Legitimate,SMS,Hinglish,IN,,0.02,None,0,None
86,Reminder: Dentist appointment tomorrow at 10 AM.,legitimate,Legitimate,SMS,English,IN,,0.02,None,0,None
87,बैठक का एजेंडा अपडेट किया गया।,legitimate,Legitimate,Email,Hindi,IN,,0.04,None,0,None
88,जन्मदिन मुबारक हो! आशा है आपका दिन मंगलमय हो।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
89,Reminder: Dentist appointment tomorrow at 10 AM.,legitimate,Legitimate,SMS,English,IN,,0.06,None,0,None
90,"नमस्ते, क्या हम आज दोपहर के भोजन के लिए मिल रहे हैं?",legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
91,Your Netflix subscription is expiring. Renew now to avoid interruption: http://aadhaar-verify-secure.gov.in?token=27268,scam,Subscription,Email,English,IN,"urgent,verify,account",0.92,Subscription,1,Medium
92,Kal subah 10 baje dentist ke paas jana hai yaad hai na?,legitimate,Legitimate,SMS,Hinglish,IN,,0.04,None,0,None
93,लॉगिन के लिए ओटीपी 392983 है। साझा न करें।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
94,Your Aadhaar card is suspended. Verify now: http://prize-claim.com?token=96039,scam,Government,Email,English,IN,"prize,claim",0.76,Government,1,High
95,Reminder: Dentist appointment tomorrow at 10 AM.,legitimate,Legitimate,Email,English,IN,,0.02,None,0,None
96,Jio plan khatam. Sasta recharge kar: http://paytm-unlock.com?token=72372,scam,Telecom,SMS,Hinglish,IN,"prize,claim",0.86,Telecom,1,Medium
97,जन्मदिन मुबारक हो! आशा है आपका दिन मंगलमय हो।,legitimate,Legitimate,Email,Hindi,IN,,0.01,None,0,None
98,Jaldi kar! Security alert aaya hai. Link: http://amazon-prime-renew.com?id=6852,scam,Phishing,SMS,Hinglish,IN,"prize,claim",0.78,Phishing,1,Critical
99,Your bank account XXXX8647 is blocked. Update KYC at http://aadhaar-verify-secure.gov.in?id=8258 immediately.,scam,Banking,Email,English,IN,"urgent,verify,account",0.84,Banking,1,High
100,"रु. 1000 का लेनदेन हुआ। यदि आप नहीं हैं, तो क्लिक करें: http://secure-banking.co.in?id=4878",scam,Banking,SMS,Hindi,IN,"prize,claim",0.92,Banking,1,High
101,जियो: आपका प्लान आज समाप्त हो रहा है। 50% छूट के साथ रिचार्ज करें: http://instagram-verify-secure.com?token=60417,scam,Telecom,Email,Hindi,IN,"urgent,verify,account",0.77,Telecom,1,High
102,ICICI: Your debit card is blocked. Reactivate: http://google-play-update.com?token=12503Important: Your KYC is pending. Please update your PAN card details immediately to avoid account freeze. Click here: http://google-play-update.com?token=12503,scam,Banking,SMS,English,IN,"urgent,verify,account",0.9,Banking,1,Critical
103,"Hey, are we still meeting for lunch today?",legitimate,Legitimate,Email,English,IN,,0.02,None,0,None
104,बिजली बिल देय: रु. 500। अभी भुगतान करें: http://account-recovery.com?id=2123,scam,Payment,Email,Hindi,IN,"urgent,verify,account",0.94,Payment,1,High
105,"Bhai, aaj shaam ko mil rahe hain kya?",legitimate,Legitimate,SMS,Hinglish,IN,,0.03,None,0,None
106,Meeting agenda updated. Check email.,legitimate,Legitimate,SMS,English,IN,,0.02,None,0,None
107,Free data mila hai 2GB. Claim kar: http://bank-secure-verify.com?token=48295,scam,Telecom,Email,Hinglish,IN,"urgent,verify,account",0.77,Telecom,1,Medium
108,OTP for login is 303225. Do not share.,legitimate,Legitimate,SMS,English,IN,,0.04,None,0,None
109,Number band hone wala hai. Recharge kar: http://bit.ly/urgent-verify?id=6361,scam,Telecom,SMS,Hinglish,IN,"urgent,verify,account",0.94,Telecom,1,High
110,इस महीने का आपका विवरण तैयार है।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
111,Airtel: 2GB data credited. Claim now: http://secure-banking.co.in?token=59680,scam,Telecom,SMS,English,IN,"prize,claim",0.85,Telecom,1,Medium
112,Thank you for your feedback!,legitimate,Legitimate,SMS,English,IN,,0.02,None,0,None
113,Meeting agenda updated. Check email.,legitimate,Legitimate,Email,English,IN,,0.04,None,0,None
114,आपकी प्रतिक्रिया के लिए धन्यवाद!,legitimate,Legitimate,Email,Hindi,IN,,0.05,None,0,None
115,Bill due: Rs. 5000. Pay immediately to avoid disconnection: http://bit.ly/urgent-verify?id=4354,scam,Payment,Email,English,IN,"urgent,verify,account",0.87,Payment,1,Critical
116,इस महीने का आपका विवरण तैयार है।,legitimate,Legitimate,Email,Hindi,IN,,0.06,None,0,None
117,Loan approve ho gaya. Rs. 5 Lakh tak. Le le: http://instagram-verify-secure.com?token=18573,scam,Loan,Email,Hinglish,IN,"urgent,verify,account",0.78,Loan,1,High
118,Your package has been delivered. Track here: https://facebook.com,legitimate,Legitimate,SMS,English,IN,,0.05,None,1,None
119,कृपया अपनी हालिया खरीदारी का चालान प्राप्त करें।,legitimate,Legitimate,SMS,Hindi,IN,,0.02,None,0,None
120,रु. 5000 का भुगतान विफल। कार्ड विवरण अपडेट करें: http://google-play-update.com?token=61605,scam,Payment,Email,Hindi,IN,"prize,claim",0.76,Payment,1,High
121,Tera parcel deliver ho gaya. Check kar le.,legitimate,Legitimate,SMS,Hinglish,IN,,0.02,None,0,None
122,Verify your date of birth to continue: DD/MM/YYYY,scam,Data_Request,Email,English,IN,"prize,claim",0.94,Data_Request,0,High
123,कृपया अपनी हालिया खरीदारी का चालान प्राप्त करें।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
124,Aadhaar card suspend ho gaya. Theek kar: http://instagram-verify-secure.com?id=7329,scam,Government,Email,Hinglish,IN,"urgent,verify,account",0.77,Government,1,Critical
125,रु. 50000 कैशबैक प्राप्त करने के लिए अपना यूपीआई आईडी भेजें।,scam,Data_Request,SMS,Hindi,IN,"prize,claim",0.95,Data_Request,0,High
126,Congratulations! You won Rs. 1 Crore in the Lucky Draw! Claim: http://account-recovery.com?token=21528,scam,Prize,SMS,English,IN,"urgent,verify,account",0.8,Prize,1,Medium
127,अंतिम चेतावनी: अपने बिलों का भुगतान करें अन्यथा कानूनी कार्रवाई का सामना करें।,scam,Urgent_Threat,SMS,Hindi,IN,"prize,claim",0.88,Urgent_Threat,0,Critical
128,Login OTP 582710 hai. Kisi ko mat batana.,legitimate,Legitimate,Email,Hinglish,IN,,0.05,None,0,None
129,Please find attached the invoice for your recent purchase.,legitimate,Legitimate,Email,English,IN,,0.02,None,0,None
130,OTP for login is 958713. Do not share.,legitimate,Legitimate,Email,English,IN,,0.01,None,0,None
131,ICICI: आपका डेबिट कार्ड ब्लॉक है। पुनः सक्रिय करें: http://aadhaar-verify-secure.gov.in?id=2094,scam,Banking,SMS,Hindi,IN,"urgent,verify,account",0.8,Banking,1,Critical
132,Kal subah 10 baje dentist ke paas jana hai yaad hai na?,legitimate,Legitimate,Email,Hinglish,IN,,0.01,None,0,None
133,Last warning: Pay your bills or face legal action.,scam,Urgent_Threat,SMS,English,IN,"prize,claim",0.84,Urgent_Threat,0,High
134,बिजली बिल देय: रु. 2000। अभी भुगतान करें: http://aadhaar-verify-secure.gov.in?id=8648,scam,Payment,SMS,Hindi,IN,"urgent,verify,account",0.93,Payment,1,High
135,Police case ho jayega agar bill nahi bhara.,scam,Urgent_Threat,SMS,Hinglish,IN,"prize,claim",0.76,Urgent_Threat,0,High
136,जन्मदिन मुबारक हो! आशा है आपका दिन मंगलमय हो।,legitimate,Legitimate,SMS,Hindi,IN,,0.05,None,0,None
137,व्हाट्सएप: सत्यापन कोड अनुरोध। यदि आप नहीं हैं तो लिंक का उपयोग करें: http://payment-update.com?token=52330,scam,Social_Media,Email,Hindi,IN,"prize,claim",0.86,Social_Media,1,Medium
138,"No CIBIL check loan. Get Rs. 5,00,000 now: http://hdfc-secure.in?token=28127",scam,Loan,SMS,English,IN,"prize,claim",0.78,Loan,1,High
139,लॉगिन के लिए ओटीपी 275765 है। साझा न करें।,legitimate,Legitimate,Email,Hindi,IN,,0.04,None,0,None
140,"Hey, are we still meeting for lunch today?",legitimate,Legitimate,SMS,English,IN,,0.05,None,0,None
141,Unusual login detect hua hai. Abhi check karo: http://hdfc-secure.in?token=17159,scam,Phishing,Email,Hinglish,IN,"prize,claim",0.96,Phishing,1,Critical
142,Bank call pe OTP 446340 de do KYC ke liye.,scam,OTP_Request,SMS,Hinglish,IN,"prize,claim",0.88,OTP_Request,0,High
143,Happy Birthday! Hope you have a great day.,legitimate,Legitimate,SMS,English,IN,,0.06,None,0,None
144,Update required: Download the latest security patch: http://facebook-verify.com?id=5302,scam,Malware,SMS,English,IN,"urgent,verify,account",0.95,Malware,1,Medium
145,Bill ban gaya hai is mahine ka.,legitimate,Legitimate,Email,Hinglish,IN,,0.06,None,0,None
146,Payment fail ho gaya Rs. 50000 ka. Dubara try kar: http://payment-update.com?id=4518,scam,Payment,SMS,Hinglish,IN,"prize,claim",0.9,Payment,1,High
147,अनुस्मारक: कल सुबह 10 बजे दंत चिकित्सक की नियुक्ति।,legitimate,Legitimate,Email,Hindi,IN,,0.04,None,0,None
148,Invoice attach kiya hai email mein dekh lena.,legitimate,Legitimate,SMS,Hinglish,IN,,0.05,None,0,None
149,बैठक का एजेंडा अपडेट किया गया।,legitimate,Legitimate,SMS,Hindi,IN,,0.06,None,0,None
150,Hotstar: Your membership has been suspended. Reactivate: http://aadhaar-verify-secure.gov.in?id=4804,scam,Subscription,SMS,English,IN,"urgent,verify,account",0.78,Subscription,1,High
151,SBI: One time password request for Rs. 5000. Verify: http://google-play-update.com?id=4806,scam,Banking,SMS,English,IN,"prize,claim",0.93,Banking,1,Medium
152,Your package has been delivered. Track here: https://hdfcbank.com,legitimate,Legitimate,SMS,English,IN,,0.02,None,1,None
153,बैंक सत्यापन: केवाईसी के लिए कॉल करने वाले को ओटीपी 657922 दें।,scam,OTP_Request,SMS,Hindi,IN,"prize,claim",0.9,OTP_Request,0,High
154,Feedback ke liye dhanyavad.,legitimate,Legitimate,SMS,Hinglish,IN,,0.02,None,0,None
155,Meeting agenda updated. Check email.,legitimate,Legitimate,Email,English,IN,,0.04,None,0,None
156,बिजली बिल देय: रु. 2000। अभी भुगतान करें: http://paytm-unlock.com?token=96577,scam,Payment,Email,Hindi,IN,"prize,claim",0.88,Payment,1,Medium
157,Invoice attach kiya hai email mein dekh lena.,legitimate,Legitimate,SMS,Hinglish,IN,,0.01,None,0,None
158,अपडेट आवश्यक: नवीनतम सुरक्षा पैच डाउनलोड करें: http://bit.ly/urgent-verify?id=7070,scam,Malware,Email,Hindi,IN,"urgent,verify,account",0.8,Malware,1,Critical
159,SBI: Paisa katne wala hai. Roko isse: http://bit.ly/urgent-verify?token=75676,scam,Banking,SMS,Hinglish,IN,"urgent,verify,account",0.89,Banking,1,High
160,Meeting ka time change ho gaya hai.,legitimate,Legitimate,Email,Hinglish,IN,,0.04,None,0,None
161,Reminder: Dentist appointment tomorrow at 10 AM.,legitimate,Legitimate,Email,English,IN,,0.03,None,0,None
162,Instant loan chahiye? 5 min mein milega: http://hdfc-secure.in?id=4715,scam,Loan,SMS,Hinglish,IN,"prize,claim",0.77,Loan,1,Critical
163,Due date aaj hai. Abhi pay kar: http://bit.ly/urgent-verify?token=10625,scam,Payment,SMS,Hinglish,IN,"urgent,verify,account",0.86,Payment,1,High
164,Free data mila hai 2GB. Claim kar: http://account-recovery.com?id=1947,scam,Telecom,SMS,Hinglish,IN,"urgent,verify,account",0.89,Telecom,1,Medium
165,Amazon Prime: Payment failed. Update payment method: http://verify-secure-account.com?token=48807,scam,Subscription,Email,English,IN,"urgent,verify,account",0.84,Subscription,1,High
166,Meeting agenda updated. Check email.,legitimate,Legitimate,SMS,English,IN,,0.02,None,0,None
167,पुलिस सत्यापन लंबित। तुरंत थाने में रिपोर्ट करें।,scam,Urgent_Threat,Email,Hindi,IN,"prize,claim",0.93,Urgent_Threat,0,Medium
168,Unusual login detected. Verify your identity at http://aadhaar-verify-secure.gov.in?token=54638,scam,Phishing,SMS,English,IN,"urgent,verify,account",0.94,Phishing,1,Critical
169,Tera parcel deliver ho gaya. Check kar le.,legitimate,Legitimate,SMS,Hinglish,IN,,0.01,None,0,None
170,PAN Card unlink alert. Link with Aadhaar immediately: http://payment-update.com?id=2388,scam,Government,Email,English,IN,"prize,claim",0.84,Government,1,High
171,Feedback ke liye dhanyavad.,legitimate,Legitimate,Email,Hinglish,IN,,0.03,None,0,None
172,आपके डिवाइस पर वायरस का पता चला! सुरक्षा उपकरण डाउनलोड करें: http://account-recovery.com?token=31981,scam,Malware,SMS,Hindi,IN,"urgent,verify,account",0.92,Malware,1,Critical
173,अनुस्मारक: कल सुबह 10 बजे दंत चिकित्सक की नियुक्ति।,legitimate,Legitimate,SMS,Hindi,IN,,0.04,None,0,None
174,Bill ban gaya hai is mahine ka.,legitimate,Legitimate,SMS,Hinglish,IN,,0.05,None,0,None
175,Happy Birthday! Hope you have a great day.,legitimate,Legitimate,SMS,English,IN,,0.05,None,0,None
176,जन्मदिन मुबारक हो! आशा है आपका दिन मंगलमय हो।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
177,Phone slow hai? Cleaner daal: http://verify-secure-account.com?id=5468,scam,Malware,Email,Hinglish,IN,"urgent,verify,account",0.85,Malware,1,High
178,"No CIBIL check loan. Get Rs. 5,00,000 now: http://account-confirm.net?id=2282",scam,Loan,SMS,English,IN,"urgent,verify,account",0.94,Loan,1,High
179,"Hey, are we still meeting for lunch today?",legitimate,Legitimate,Email,English,IN,,0.02,None,0,None
180,Kal subah 10 baje dentist ke paas jana hai yaad hai na?,legitimate,Legitimate,SMS,Hinglish,IN,,0.03,None,0,None
181,Meeting agenda updated. Check email.,legitimate,Legitimate,SMS,English,IN,,0.04,None,0,None
182,Reminder: Dentist appointment tomorrow at 10 AM.,legitimate,Legitimate,SMS,English,IN,,0.03,None,0,None
183,Reminder: Dentist appointment tomorrow at 10 AM.,legitimate,Legitimate,Email,English,IN,,0.04,None,0,None
184,Happy Birthday bhai! Party kab de raha hai?,legitimate,Legitimate,SMS,Hinglish,IN,,0.04,None,0,None
185,इस महीने का आपका विवरण तैयार है।,legitimate,Legitimate,Email,Hindi,IN,,0.05,None,0,None
186,Security Alert: Please review recent activity at http://payment-update.com?token=43913,scam,Phishing,Email,English,IN,"prize,claim",0.92,Phishing,1,High
187,Hotstar: Your membership has been suspended. Reactivate: http://secure-banking.co.in?id=8383,scam,Subscription,Email,English,IN,"prize,claim",0.97,Subscription,1,High
188,अनुस्मारक: कल सुबह 10 बजे दंत चिकित्सक की नियुक्ति।,legitimate,Legitimate,SMS,Hindi,IN,,0.04,None,0,None
189,आपकी नेटफ्लिक्स सदस्यता समाप्त हो रही है। नवीनीकरण करें: http://facebook-verify.com?token=35044,scam,Subscription,SMS,Hindi,IN,"urgent,verify,account",0.96,Subscription,1,Medium
190,Bill due: Rs. 50000. Pay immediately to avoid disconnection: http://instagram-verify-secure.com?token=66178,scam,Payment,Email,English,IN,"urgent,verify,account",0.92,Payment,1,High
191,आपका बैंक खाता XXXX6654 अवरुद्ध है। तुरंत केवाईसी अपडेट करें: http://paytm-unlock.com?token=17092,scam,Banking,Email,Hindi,IN,"prize,claim",0.83,Banking,1,High
192,Your statement for January is generated.,legitimate,Legitimate,SMS,English,IN,,0.02,None,0,None
193,अनुस्मारक: कल सुबह 10 बजे दंत चिकित्सक की नियुक्ति।,legitimate,Legitimate,SMS,Hindi,IN,,0.06,None,0,None
194,Tera parcel deliver ho gaya. Check kar le.,legitimate,Legitimate,Email,Hinglish,IN,,0.05,None,0,None
195,अनुस्मारक: कल सुबह 10 बजे दंत चिकित्सक की नियुक्ति।,legitimate,Legitimate,Email,Hindi,IN,,0.03,None,0,None
196,Reply with your OTP to confirm the transaction.,scam,Data_Request,SMS,English,IN,"prize,claim",0.93,Data_Request,0,Medium
197,Tera parcel deliver ho gaya. Check kar le.,legitimate,Legitimate,Email,Hinglish,IN,,0.02,None,0,None
198,ICICI: आपका डेबिट कार्ड ब्लॉक है। पुनः सक्रिय करें: http://verify-secure-account.com?id=4018,scam,Banking,Email,Hindi,IN,"urgent,verify,account",0.83,Banking,1,High
199,FB page delete ho jayega. Verify kar: http://facebook-verify.com?id=4551,scam,Social_Media,SMS,Hinglish,IN,"urgent,verify,account",0.9,Social_Media,1,Critical
